ngram,count
I would,5
I wouldnt,1
II I,1
III ON,1
IV ON,1
IX THE,1
Id I,1
Id have,1
Id like,1
If he,1
If the,2
If there,1
If theyre,1
If this,1
If we,1
If you,2
Im Mr,1
Im Otto,1
Im afraid,1
Im at,1
Im to,1
Immediately she,1
In a,2
In his,1
In mid-ocean,1
In that,1
In the,3
Indian times,1
Indians Surely,1
Indians tortured,1
Indians used,1
It must,1
It seemed,2
It took,1
It was,19
It would,1
Its awful,1
Its no,1
Its wolves,1
Ive Done,1
Jacob whom,1
Jake Marpole,1
Jake about,1
Jake and,4
Jake bought,1
Jake got,1
Jake nodded,1
Jake roused,1
Jake was,1
Jakes experience,1
Jakes shaggy,1
James He,1
James Jake,1
James which,1
Jesse James,3
Jew in,1
Jim As,1
Jim I,1
Jim Up,1
Jim she,1
Jimmy Antonia,1
Jimmy Are,1
Jimmy Shes,1
Jimmy aint,1
Jimmy he,1
Jimmy she,1
Jimmys boots,1
Julka was,1
Just as,1
KNEW THAT,1
Kill him,1
Kings I,1
Know Ive,1
Krajiek and,1
Krajiek but,1
Krajiek came,1
Krajiek could,1
Krajiek drove,1
Krajiek encouraged,1
Krajiek got,1
Krajiek had,1
Krajiek in,1
Krajiek was,2
Krajieks said,1
LIKED Antonia,1
Last night,1
Life of,1
Lone Prairee,1
Look Tony,1
Lord had,1
MORNING Otto,1
MUCH AS,1
Maltese cat,1
Marek then,1
Marpole one,1
Me Not,1
Meat for,1
Misfortune seemed,1
Missouri River,1
Missouri and,1
Moines Fort,1
Mormons that,1
Mr Burdens,2
Mr Shimerda,15
Mrs Burden,3
Mrs Shimerda,6
Much good,1
My big,1
My first,1
My grandfather,1
My grandmother,1
My horses,1
My how,1
My papa,3
My plan,1
My tatinek,2
NOT REMEMBER,1
Name What,1
Near it,1
Nebraska I,2
Nebraska Probably,1
Nebraska Shes,1
Nebraska and,1
Nebraska was,1
Nevertheless I,1
Nevertheless that,1
New York,1
Next to,1
Nice mans,1
No there,1
No wonder,1
Nobody aint,1
North America,1
North Pole,1
North of,1
Norwegian graveyard,1
Norwegian settlement,1
Not on,1
Nothing happened,1
Nothing seemed,1
November had,1
Now did,1
Now everything,1
Now his,1
Now we,1
Now why,1
O Jimmy,1
OF Antonia,1
ON SUNDAY,1
ON THE,1
ONE AFTERNOON,1
Occasionally one,1
Of all,1
Oh I,1
Oh very,1
Old Hata,1
On Sundays,1
On the,2
On those,1
Once when,1
Once while,1
One afternoon,2
One always,1
One day,1
One is,1
One son,1
Other bachelor,1
Otto Fuchs,9
Otto He,1
Otto and,2
Otto concluded,1
Otto left,1
Otto sat,1
Otto shook,1
Otto took,1
